iter	Passed	Remaining
0	693	68646
1	1218	59723
2	1900	61449
3	2468	59240
4	3023	57442
5	3627	56825
6	4205	55874
7	4737	54480
8	5288	53472
9	5948	53534
10	6494	52543
11	7069	51844
12	7622	51013
13	8159	50120
14	8703	49319
15	9266	48647
16	9808	47888
17	10348	47145
18	10900	46470
19	11440	45760
20	11988	45100
21	12538	44455
22	13082	43797
23	13616	43117
24	14160	42482
25	14689	41807
26	15226	41166
27	15757	40520
28	16291	39887
29	16820	39247
30	17349	38616
31	17866	37966
32	18399	37357
33	18930	36746
34	19483	36183
35	20007	35569
36	20534	34963
37	21073	34383
38	21603	33789
39	22124	33186
40	22666	32618
41	23201	32040
42	23716	31438
43	24243	30854
44	24769	30273
45	25305	29706
46	25830	29128
47	26366	28563
48	26899	27997
49	27430	27430
50	27974	26877
51	28507	26315
52	29062	25772
53	29590	25207
54	30121	24644
55	30656	24086
56	31199	23536
57	31731	22978
58	32269	22424
59	32804	21869
60	33338	21315
61	33877	20763
62	34420	20215
63	34944	19656
64	35483	19106
65	36026	18559
66	36550	18002
67	37088	17453
68	37616	16900
69	38151	16350
70	38676	15797
71	39213	15249
72	39734	14696
73	40268	14148
74	40792	13597
75	41315	13046
76	41853	12501
77	42388	11955
78	42916	11408
79	43451	10862
80	43988	10318
81	44508	9770
82	45043	9225
83	45565	8679
84	46104	8136
85	46643	7593
86	47174	7049
87	47709	6505
88	48246	5963
89	48779	5419
90	49334	4879
91	49861	4335
92	50400	3793
93	50930	3250
94	51466	2708
95	51995	2166
96	52530	1624
97	53073	1083
98	53601	541
99	54138	0
